-128;negative one hundred twenty-eight
-127;negative one hundred twenty-seven
-126;negative one hundred twenty-six
-125;negative one hundred twenty-five
-124;negative one hundred twenty-four
-123;negative one hundred twenty-three
-122;negative one hundred twenty-two
-121;negative one hundred twenty-one
-120;negative one hundred twenty
-119;negative one hundred nineteen
-118;negative one hundred eighteen
-117;negative one hundred seventeen
-116;negative one hundred sixteen
-115;negative one hundred fifteen
-114;negative one hundred fourteen
-113;negative one hundred thirteen
-112;negative one hundred twelve
-111;negative one hundred eleven
-110;negative one hundred ten
-109;negative one hundred nine
-108;negative one hundred eight
-107;negative one hundred seven
-106;negative one hundred six
-105;negative one hundred five
-104;negative one hundred four
-103;negative one hundred three
-102;negative one hundred two
-101;negative one hundred one
-100;negative one hundred
-99;negative ninety-nine
-98;negative ninety-eight
-97;negative ninety-seven
-96;negative ninety-six
-95;negative ninety-five
-94;negative ninety-four
-93;negative ninety-three
-92;negative ninety-two
-91;negative ninety-one
-90;negative ninety
-89;negative eighty-nine
-88;negative eighty-eight
-87;negative eighty-seven
-86;negative eighty-six
-85;negative eighty-five
-84;negative eighty-four
-83;negative eighty-three
-82;negative eighty-two
-81;negative eighty-one
-80;negative eighty
-79;negative seventy-nine
-78;negative seventy-eight
-77;negative seventy-seven
-76;negative seventy-six
-75;negative seventy-five
-74;negative seventy-four
-73;negative seventy-three
-72;negative seventy-two
-71;negative seventy-one
-70;negative seventy
-69;negative sixty-nine
-68;negative sixty-eight
-67;negative sixty-seven
-66;negative sixty-six
-65;negative sixty-five
-64;negative sixty-four
-63;negative sixty-three
-62;negative sixty-two
-61;negative sixty-one
-60;negative sixty
-59;negative fifty-nine
-58;negative fifty-eight
-57;negative fifty-seven
-56;negative fifty-six
-55;negative fifty-five
-54;negative fifty-four
-53;negative fifty-three
-52;negative fifty-two
-51;negative fifty-one
-50;negative fifty
-49;negative forty-nine
-48;negative forty-eight
-47;negative forty-seven
-46;negative forty-six
-45;negative forty-five
-44;negative forty-four
-43;negative forty-three
-42;negative forty-two
-41;negative forty-one
-40;negative forty
-39;negative thirty-nine
-38;negative thirty-eight
-37;negative thirty-seven
-36;negative thirty-six
-35;negative thirty-five
-34;negative thirty-four
-33;negative thirty-three
-32;negative thirty-two
-31;negative thirty-one
-30;negative thirty
-29;negative twenty-nine
-28;negative twenty-eight
-27;negative twenty-seven
-26;negative twenty-six
-25;negative twenty-five
-24;negative twenty-four
-23;negative twenty-three
-22;negative twenty-two
-21;negative twenty-one
-20;negative twenty
-19;negative nineteen
-18;negative eighteen
-17;negative seventeen
-16;negative sixteen
-15;negative fifteen
-14;negative fourteen
-13;negative thirteen
-12;negative twelve
-11;negative eleven
-10;negative ten
-9;negative nine
-8;negative eight
-7;negative seven
-6;negative six
-5;negative five
-4;negative four
-3;negative three
-2;negative two
-1;negative one
0;zero
1;one
2;two
3;three
4;four
5;five
6;six
7;seven
8;eight
9;nine
10;ten
11;eleven
12;twelve
13;thirteen
14;fourteen
15;fifteen
16;sixteen
17;seventeen
18;eighteen
19;nineteen
20;twenty
21;twenty-one
22;twenty-two
23;twenty-three
24;twenty-four
25;twenty-five
26;twenty-six
27;twenty-seven
28;twenty-eight
29;twenty-nine
30;thirty
31;thirty-one
32;thirty-two
33;thirty-three
34;thirty-four
35;thirty-five
36;thirty-six
37;thirty-seven
38;thirty-eight
39;thirty-nine
40;forty
41;forty-one
42;forty-two
43;forty-three
44;forty-four
45;forty-five
46;forty-six
47;forty-seven
48;forty-eight
49;forty-nine
50;fifty
51;fifty-one
52;fifty-two
53;fifty-three
54;fifty-four
55;fifty-five
56;fifty-six
57;fifty-seven
58;fifty-eight
59;fifty-nine
60;sixty
61;sixty-one
62;sixty-two
63;sixty-three
64;sixty-four
65;sixty-five
66;sixty-six
67;sixty-seven
68;sixty-eight
69;sixty-nine
70;seventy
71;seventy-one
72;seventy-two
73;seventy-three
74;seventy-four
75;seventy-five
76;seventy-six
77;seventy-seven
78;seventy-eight
79;seventy-nine
80;eighty
81;eighty-one
82;eighty-two
83;eighty-three
84;eighty-four
85;eighty-five
86;eighty-six
87;eighty-seven
88;eighty-eight
89;eighty-nine
90;ninety
91;ninety-one
92;ninety-two
93;ninety-three
94;ninety-four
95;ninety-five
96;ninety-six
97;ninety-seven
98;ninety-eight
99;ninety-nine
100;one hundred
101;one hundred one
102;one hundred two
103;one hundred three
104;one hundred four
105;one hundred five
106;one hundred six
107;one hundred seven
108;one hundred eight
109;one hundred nine
110;one hundred ten
111;one hundred eleven
112;one hundred twelve
113;one hundred thirteen
114;one hundred fourteen
115;one hundred fifteen
116;one hundred sixteen
117;one hundred seventeen
118;one hundred eighteen
119;one hundred nineteen
120;one hundred twenty
121;one hundred twenty-one
122;one hundred twenty-two
123;one hundred twenty-three
124;one hundred twenty-four
125;one hundred twenty-five
126;one hundred twenty-six
127;one hundred twenty-seven
